Characteristic,Subcategory,APOE-e4 homozygote (n=770),APOE-e3 homozygote (n=20770),APOE-e2 homozygote (n=202),APOE-e4/APOE-e3 (n=8130),APOE-e2/APOE-e3 (n=4330),APOE-e4/APOE-e2 (n=833),Total (n=35035)
Age at baseline,mean (sd),54.2 (7.26),54.9 (7.46),54.7 (7.67),54.5 (7.38),55.0 (7.41),54.8 (7.55),54.8 (7.44)
Age at baseline,median [range],"55.0 [40.0, 69.0]","55.0 [40.0, 70.0]","55.0 [40.0, 69.0]","55.0 [40.0, 70.0]","56.0 [40.0, 70.0]","55.0 [40.0, 70.0]","55.0 [40.0, 70.0]"
Age at brain imaging,mean (sd),63.1 (7.30),63.8 (7.55),63.7 (7.88),63.3 (7.47),63.8 (7.50),63.7 (7.63),63.6 (7.53)
Age at brain imaging,median [range],"64.0 [47.0, 80.0]","64.0 [45.0, 81.0]","64.0 [46.0, 80.0]","64.0 [46.0, 81.0]","64.0 [45.0, 81.0]","64.0 [47.0, 80.0]","64.0 [45.0, 81.0]"
Ethnicity number (%),British,725 (94.16),"19,082 (91.87)",187 (92.57),7535 (92.68),4002 (92.42),789 (94.72),"32,320 (92.25)"
Ethnicity number (%),Others,45 (5.84),1688 (8.13),15 (7.43),595 (7.32),328 (7.58),44 (5.28),2715 (7.75)
Sex number (%),Male,420 (54.55),9929 (47.8),93 (46.04),3737 (45.97),2032 (46.93),374 (44.9),"16,515 (47.14)"
Sex number (%),Female,350 (45.45),"10,841 (52.2)",109 (53.96),4393 (54.03),2298 (53.07),459 (55.1),"18,520 (52.86)"
Disease status number (%),Dementia,0 (0),1 (0),1 (0.5),2 (0.02),2 (0.05),0 (0),6 (0.02)
Disease status number (%),Not dementia,770 (100),"20,769 (100)",201 (99.5),8128 (99.98),4328 (99.95),833 (100),"35,029 (99.98)"
Family illness number (%),Father has AD,128 (16.62),1764 (8.49),19 (9.41),1023 (12.58),365 (8.43),103 (12.36),3402 (9.71)
Family illness number (%),Mother has AD,223 (28.96),3329 (16.03),25 (12.38),1855 (22.82),655 (15.13),189 (22.69),6276 (17.91)
Family illness number (%),Sibling has AD,27 (3.51),261 (1.26),1 (0.5),191 (2.35),51 (1.18),20 (2.4),551 (1.57)
Marriage status number (%),Living with a partner,611 (79.35),"16,077 (77.4)",158 (78.22),6295 (77.43),3336 (77.04),624 (74.91),"27,101 (77.35)"
Marriage status number (%),Not living with a partner,65 (8.44),1521 (7.32),16 (7.92),629 (7.74),310 (7.16),74 (8.88),2615 (7.46)
Education number (%),College/university degree or above,375 (48.7),9656 (46.49),88 (43.56),3750 (46.13),1978 (45.68),398 (47.78),"16,245 (46.37)"
Education number (%),No college/university degree or above,350 (45.45),9636 (46.39),98 (48.51),3855 (47.42),2036 (47.02),374 (44.9),"16,349 (46.66)"
Social deprivation number (%),Above the Townsend deprivation index median,307 (39.87),8750 (42.13),79 (39.11),3426 (42.14),1755 (40.53),334 (40.1),"14,651 (41.82)"
Social deprivation number (%),Below the Townsend deprivation index median,463 (60.13),"12,001 (57.78)",123 (60.89),4697 (57.77),2568 (59.31),499 (59.9),"20,351 (58.09)"
Smoking status,Not current smoking,732 (95.06),"19,433 (93.56)",192 (95.05),7603 (93.52),4061 (93.79),784 (94.12),"32,805 (93.63)"
Smoking status,Current smoking,38 (4.94),1293 (6.23),10 (4.95),510 (6.27),263 (6.07),47 (5.64),2161 (6.17)
Doing regular physical activity,Yes,586 (76.1),"15,593 (75.07)",153 (75.74),6075 (74.72),3265 (75.4),603 (72.39),"26,275 (75)"
Doing regular physical activity,No,182 (23.64),5043 (24.28),49 (24.26),1997 (24.56),1043 (24.09),224 (26.89),8538 (24.37)
Healthy diet,Yes,408 (52.99),"10,133 (48.79)",90 (44.55),4019 (49.43),2063 (47.64),398 (47.78),"17,111 (48.84)"
Healthy diet,No,362 (47.01),"10,628 (51.17)",112 (55.45),4105 (50.49),2265 (52.31),435 (52.22),"17,907 (51.11)"
Alcohol consumption,Excessive alcohol consumption,203 (26.36),5842 (28.13),58 (28.71),2346 (28.86),1245 (28.75),216 (25.93),9910 (28.29)
Alcohol consumption,Moderate alcohol consumption,485 (62.99),"12,666 (60.98)",115 (56.93),4876 (59.98),2610 (60.28),529 (63.51),"21,281 (60.74)"
Alcohol consumption,Not current drinking,82 (10.65),2251 (10.84),29 (14.36),907 (11.16),474 (10.95),88 (10.56),3831 (10.93)
Sleeping between 6 and 8 h,Yes,342 (44.42),9017 (43.41),89 (44.06),3645 (44.83),1810 (41.8),380 (45.62),"15,283 (43.62)"
Sleeping between 6 and 8 h,No,426 (55.32),"11,706 (56.36)",113 (55.94),4473 (55.02),2507 (57.9),451 (54.14),"19,676 (56.16)"
